2023.11.10 13:03:09 INFO  ce[AYu5VDMRoHkafef8rVWx][o.s.c.t.s.ComputationStepExecutor] Load measure computers | status=SUCCESS | time=2ms
2023.11.10 13:03:09 INFO  ce[AYu5VDMRoHkafef8rVWx][o.s.c.t.s.ComputationStepExecutor] Compute Quality Profile status | status=SUCCESS | time=4ms
2023.11.10 13:03:24 INFO  ce[AYu5VDMRoHkafef8rVWx][o.s.c.t.s.ComputationStepExecutor] Execute component visitors | status=SUCCESS | time=14899ms
2023.11.10 13:03:24 INFO  ce[AYu5VDMRoHkafef8rVWx][o.s.c.t.s.ComputationStepExecutor] Checks executed after computation of measures | status=SUCCESS | time=0ms
2023.11.10 13:03:24 INFO  ce[AYu5VDMRoHkafef8rVWx][o.s.c.t.s.ComputationStepExecutor] Compute Quality Gate measures | status=SUCCESS | time=1ms
2023.11.10 13:03:24 INFO  ce[AYu5VDMRoHkafef8rVWx][o.s.c.t.s.ComputationStepExecutor] Compute Quality profile measures | status=SUCCESS | time=3ms
2023.11.10 13:03:24 INFO  ce[AYu5VDMRoHkafef8rVWx][o.s.c.t.s.ComputationStepExecutor] Generate Quality profile events | status=SUCCESS | time=2ms
2023.11.10 13:03:24 INFO  ce[AYu5VDMRoHkafef8rVWx][o.s.c.t.s.ComputationStepExecutor] Generate Quality gate events | status=SUCCESS | time=0ms
2023.11.10 13:03:24 INFO  ce[AYu5VDMRoHkafef8rVWx][o.s.c.t.s.ComputationStepExecutor] Persist components | status=SUCCESS | time=131ms
2023.11.10 13:03:24 INFO  ce[AYu5VDMRoHkafef8rVWx][o.s.c.t.s.ComputationStepExecutor] Persist analysis | status=SUCCESS | time=2ms
2023.11.10 13:03:24 INFO  ce[AYu5VDMRoHkafef8rVWx][o.s.c.t.s.ComputationStepExecutor] Persist analysis properties | status=SUCCESS | time=1ms
2023.11.10 13:03:24 INFO  ce[AYu5VDMRoHkafef8rVWx][o.s.c.t.s.ComputationStepExecutor] Persist measures | inserts=103 | status=SUCCESS | time=13ms
2023.11.10 13:03:31 INFO  ce[AYu5VDMRoHkafef8rVWx][o.s.c.t.s.ComputationStepExecutor] Persist live measures | insertsOrUpdates=109644 | status=SUCCESS | time=6737ms
2023.11.10 13:03:31 INFO  ce[AYu5VDMRoHkafef8rVWx][o.s.c.t.s.ComputationStepExecutor] Persist duplication data | insertsOrUpdates=404 | status=SUCCESS | time=36ms
2023.11.10 13:03:31 INFO  ce[AYu5VDMRoHkafef8rVWx][o.s.c.t.s.ComputationStepExecutor] Persist new ad hoc Rules | status=SUCCESS | time=0ms
